jogador_pasta,img,nome,overall,gols_jogador,gols_time,assistencias_jogador,assistencias_time,finalizacoes_jogador,finalizacoes_time,precisao_finalizacoes_pct_jogador,precisao_finalizacoes_pct_time,passes_jogador,passes_time,precisao_passes_pct_jogador,precisao_passes_pct_time,dribles_jogador,dribles_time,taxa_dribles_certos_pct_jogador,taxa_dribles_certos_pct_time,divididas_jogador,divididas_time,taxa_divididas_ganhas_pct_jogador,taxa_divididas_ganhas_pct_time,impedimentos_jogador,impedimentos_time,faltas_cometidas_jogador,faltas_cometidas_time,posses_bola_ganhas_jogador,posses_bola_ganhas_time,perdas_posse_bola_jogador,perdas_posse_bola_time,minutos_jogados_media_time_jogador,minutos_jogados_media_time_time,distancia_percorrida_media_time_km_jogador,distancia_percorrida_media_time_km_time,distancia_corrida_media_time_km_jogador,distancia_corrida_media_time_km_time
,Captura de Tela (1478).png,Ismaila Sarr,81,3,6,0,5,4,7,75,86,2,98,100,87,3,75,67,92,2,19,50,26,0,0,0,3,1,17,2,15,94,73,"0,1","6,8","2,3","1,1"
,Captura de Tela (1479).png,Anthony Gordon,78,0,6,2,5,0,7,0,86,10,98,80,87,13,75,77,92,0,19,0,26,0,0,0,3,3,17,5,15,94,73,"9,3","6,8","1,9","1,1"
,Captura de Tela (1480).png,Eberechi Eze,83,2,6,1,5,2,7,100,86,6,98,100,87,6,75,100,92,0,19,0,26,0,0,0,3,0,17,0,15,75,73,"7,0","6,8","1,0","1,1"
,Captura de Tela (1481).png,Jean-Philippe Mateta,79,0,6,2,5,0,7,0,86,8,98,63,87,4,75,100,92,0,19,0,26,0,0,0,3,0,17,2,15,94,73,"8,0","46,8","1,0","1,1"
,Captura de Tela (1522).png,Eddie Nketiah,76,0,0,0,0,4,18,50,17,5,95,100,93,5,83,100,94,1,11,0,18,0,0,0,1,0,17,3,10,93,63,"8,7","5,7","1,0","0,6"
,Captura de Tela (1523).png,Jean-Philippe Mateta,79,0,0,0,0,1,18,0,17,0,95,0,93,0,83,0,94,0,11,0,18,0,0,0,1,0,17,0,10,2,63,"0,1","5,7","0,0","0,6"
,Captura de Tela (1524).png,Anthony Gordon,78,0,0,0,0,2,18,0,17,8,95,88,93,9,83,89,94,1,11,100,18,0,0,0,1,2,17,2,10,93,63,"9,5","5,7","1,5","0,6"
,Captura de Tela (1525).png,Eberechi Eze,83,0,0,0,0,6,18,17,17,15,95,100,93,14,83,93,94,0,11,0,18,0,0,0,1,1,17,1,10,93,63,"9,1","5,7","1,0","0,6"
,Captura de Tela (1526).png,Jesurun Rak-Sakyi,72,0,0,0,0,1,18,0,17,4,95,100,93,5,83,80,94,0,11,0,18,0,0,0,1,2,17,1,10,74,63,"7,4","5,7","1,1","0,6"
,Captura de Tela (1527).png,James Tomkins,71,0,0,0,0,2,18,0,17,8,95,88,93,6,83,83,83.94,2,11,0,18,0,0,1,1,3,17,0,10,93,63,"7,1","5,7","0,4","0,6"
,Captura de Tela (1532).png,Jean-Philippe Mateta,79,1,2,0,1,4,16,75,44,9,93,78,86,8,79,88,95,1,14,0,36,0,0,0,3,0,16,2,10,98,77,"8,7","6,9","0,7","0,9"
,Captura de Tela (1533).png,Eberechi Eze,83,0,2,1,1,3,16,33,44,16,93,75,86,15,79,80,95,0,14,0,36,0,0,0,3,1,16,3,10,98,77,"9,6","6,9","1,1","0,9"
,Captura de Tela (1534).png,Anthony Gordon,78,1,2,0,1,3,16,33,44,6,93,83,86,8,79,100,95,1,14,0,36,0,0,1,3,1,16,1,10,98,77,"9,9","6,9","1,3","0,9"
,Captura de Tela (1535).png,Will Yupleg,76,0,2,0,1,1,16,0,44,5,93,80,86,4,79,100,95,2,14,50,36,0,0,0,3,3,16,0,10,53,77,"4,8","6,9","0,6","0,9"
